x1,x2
999.9999885151315,999.9999885151315
701.4963490353664,883.6010811438433
517.6927199186202,784.6017019205627
387.97694152819696,693.0428360892208
286.8496977084321,612.3940813635204
205.991422373107,541.1056865275579
143.36799388057753,478.1149766236555
97.53253385116625,422.4577477518318
65.83685495817772,373.28627476084125
44.83971317119304,329.83640598598663
31.22930122942182,291.4444243543076
22.382036379506644,257.52148976888293
16.480713019570118,227.54539893323377
12.387421695946983,201.06354237472604
9.432366856066352,177.66190319546126
7.239305220897904,156.98221002012227
5.592684989986424,138.70936013304845
4.3592111429267675,122.56529683887328
3.4429694879526664,108.29815508556082
2.7675556699978756,95.69478762273327
2.2716368971418603,84.55425017638223
