x1,x2,x3
106.25039100679932,106.25039100679932,106.25039100679932
35.141829364288704,33.76401531346092,33.76401531346092
19.378014644197588,18.071643848170854,18.071643848170854
13.23207036850872,9.934556026133889,9.934556026133889
9.87744084099897,6.630301262767272,6.929820306266203
7.8553483565808735,4.883974673955488,5.79527874221293
6.381147728276398,3.8049008678031804,4.580774461762708
5.2259640750577026,3.073125452863005,3.422427862694958
4.335435391044715,2.535951038003604,2.5811522312195243
3.6441129643455215,2.1190383644260904,1.990249343482813
