run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.955407816895946,0.9554054149396711,0.9554063893378231,0.9554071454687573,0.9554057905829353,0.9554072180677937,0.9554052914556057,0.9554041123370908
0.9083249841202699,0.8895939327764686,0.8861429307617783,0.8843458211652533,0.8831501261861481,0.881964415764034,0.8810189275044884,0.8802717643309249
0.8922664993145429,0.8712185897076539,0.8639489133402811,0.8588983747845207,0.855194170916594,0.8526118517456991,0.850870486975315,0.8496074233544255
0.8761848464053017,0.8492195991876097,0.8416844509600009,0.8377752990301851,0.8352791248173831,0.833428020287485,0.8318606173400854,0.8304934108039086
0.8692997365683046,0.8403652979353541,0.8317420862813816,0.8270778307859973,0.8240144352191302,0.8217944773735107,0.8200670947651295,0.8187134388345122
0.8680879573263216,0.8336050809061544,0.8240040489883192,0.8191147969033123,0.8162294865866131,0.814373839621734,0.8131289425716355,0.8121930938404277
0.8735717893890875,0.8337771839233531,0.8238257960406729,0.8181733669972128,0.8148706738089248,0.8128409074422782,0.8114965394826197,0.8106041349392178
0.8822884825259791,0.8370487217185244,0.8265388235351795,0.8205207423978764,0.8168641892427488,0.8145246045250772,0.8130780280134524,0.8121625549377024
0.8961412568505285,0.8445440401956834,0.8329668619619395,0.8265901998626795,0.8226283171337639,0.8199368445858664,0.8181402217637631,0.8169973420136429
