x1,x2
999.9999843194133,999.9999843194133
769.7856771916313,846.4017066729373
601.6431191966373,719.2697064113412
470.334994638805,608.5518034978352
365.0617138828976,515.0789676087574
281.3222716717234,435.9643556519573
216.0999982109122,369.000228275979
166.22574260724627,312.3248979706216
128.37987895426306,264.3521070070555
99.59574458520447,223.74804883024981
77.53147712407761,189.38148221436688
60.49742471873029,160.29222769183042
47.2964225337104,135.67302451360695
37.052752353871796,114.83377427176565
29.105063119906617,97.19648079146415
22.94485633906703,82.26852417750649
18.162619090042597,69.6314628277618
14.445895397461697,58.93726438523797
11.546632034233255,49.88391118732525
9.278880103905607,42.22405225800796
7.497705472541526,35.73987494821026
