x1,x2
83.33362374996705,83.33362374996705
26.11497420805065,26.077885670649326
14.60492899591557,14.670476710133943
8.788210283357387,9.812645992433785
6.421134155481105,7.137756388880554
4.908343331510671,5.454882172880952
3.3399269876764435,4.305935675320926
2.249861121130627,3.4770850552378376
1.54406858986638,2.8551079839903015
1.1178062835267542,2.374421289201985
0.853043555867953,1.9944107893126972
0.6790539213598801,1.6885655219538007
0.5652495007762695,1.4388510057459523
0.31768629356385014,1.2325561683005444
0.24552748920576142,1.0604824494580916
0.1959641702738008,0.9157930237208254
0.1592619076945273,0.7932948268444258
0.13117635287454485,0.6889947552546067
0.10930947406514235,0.5997519425819765
0.09197630075352839,0.5230758449132911
