x1,x2,x3
99.99999704768715,99.99999704768715,99.99999704768715
80.86575634659388,80.86575634659388,84.64026426250061
67.4931820219632,67.4931820219632,76.60809537104905
57.587049402985514,57.587049402985514,67.68015847828579
49.74148111473192,49.74148111473192,59.79545139879649
43.398328090827036,43.398328090827036,52.920460249970766
38.201476289202496,38.201476289202496,46.98083451363189
33.86169992375887,33.86169992375887,41.72747297893327
30.182091595860054,30.182091595860054,37.12078122391556
27.016402734864755,27.016402734864755,33.0217266138343
