Iteration,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8
0,99.99999980048634,99.99999992466452,99.9999987756025,99.99999888144706,99.9999998918086,99.99999902830456,99.99999704768716,99.99999932166892
1,80.86630821878217,80.86592375224167,80.86586558251415,80.86581771766365,80.86583011554997,80.86583518185074,80.86575634659388,80.86567674049216
2,67.49676303067754,67.49378242183147,67.49373181356152,67.49340747856459,67.49342596101708,67.4931503569192,67.49351137781993,67.49337059150085
3,56.43506459974212,56.57202884849124,56.679973229973456,56.74484946737019,56.7846131769311,56.810222386060005,56.82743324463021,56.83979966319112
4,46.8710409327476,47.40046011692944,47.87280025167103,48.15956031540063,48.33546316803122,48.44851927540617,48.52457450297951,48.57807679094631
5,38.90859053920347,39.909937311281965,40.79819958331171,41.36060652422872,41.71961056056123,41.95451183819106,42.1148483083392,42.22818136904575
6,32.51834301866113,33.914044832926294,35.15947034734399,35.99205460227317,36.53637601235165,36.90436762732701,37.160648600578455,37.344843099355934
7,27.505345496289,29.12125207180709,30.617617644973592,31.68479284518216,32.417177031393884,32.9201027308538,33.27676781867221,33.53553643804745
8,23.64450652586073,25.2585295696626,26.90749208446139,28.163196881104668,29.058850683193157,29.695716751314645,30.154240156964576,30.49007405536358
9,20.638659445585112,22.12781286763118,23.84189897207904,25.238115013607025,26.277870144797667,27.034486676661967,27.589645182825212,28.003080201594244
