x1,x2,x3
99.9999998918086,99.9999998918086,99.9999998918086
80.86583011554997,80.86583011554997,84.640366651752
67.49342596101708,67.49342596101708,73.42309133478939
56.7846131769311,56.7846131769311,64.93909945474155
48.33546316803122,48.33546316803122,57.37889557954897
41.71961056056123,41.71961056056123,50.660768159841325
36.53637601235165,36.53637601235165,44.69671407557471
32.417177031393884,32.417177031393884,39.38459054552531
29.058850683193153,29.058850683193153,34.64682314799091
26.277870144797667,26.277870144797667,30.433664750141133
