x1,x2,x3
87.50048539985261,87.50048539985261,87.50048539985261
27.46847139903866,27.50146534894916,27.50146534894916
15.503492441202852,16.62848942709292,16.62848942709292
10.405124196871762,11.812674589469642,11.812674589469642
7.59539647910992,9.035090169688308,9.035090169688308
5.82579914096833,7.079134436557278,7.079134436557278
4.627724410181997,5.0450736669314775,5.0450736669314775
3.7832862109460486,3.4966473365968884,3.4966473365968884
3.138422694087533,1.8612436197215925,2.506918840816994
2.625344879836879,1.3137031715739953,1.9381576927016932
2.2069098999352477,0.9937882248050172,1.623381790070665
1.8646622498135286,0.7805590594442863,1.481516142733013
1.5883181705016955,0.6273255560648303,1.4196579811522856
1.3627981136229457,0.5126534804633718,1.3618496569606475
1.1761232354563385,0.42461783934688235,1.2797855543517656
1.0204192510358767,0.3586148293682303,1.1590733818467185
0.8881586669938467,0.31398872893983554,1.035650736683816
0.7759843466022623,0.2710388811589194,0.9357401485108535
0.6806414506323624,0.23456252782963413,0.8575577458083901
0.5992986845952062,0.2036161480993614,0.7949636236180806
0.5281747109510454,0.176344158166232,0.7433943245863831
