x1,x2,x3,x4
1.2337969283254522,1.2337969283254522,1.2337969283254522,1.2337969283254522
0.4104155572056722,0.3632526879844217,0.3632526879844217,0.3632526879844217
0.19826990618044177,0.20666741373643852,0.2139076058170225,0.2139076058170225
0.11906591838584604,0.13708376864073105,0.16506449398816608,0.16506449398816608
0.0794792697410018,0.09184471771541543,0.12889580400007705,0.12889580400007705
0.05564633949117599,0.06238124376586827,0.09469169883899695,0.09469169883899695
0.03994247105955767,0.04356424267355669,0.06627084144160487,0.06627084144160487
0.029151776371488154,0.03119904006807212,0.045625812032909455,0.045625812032909455
0.021568324867645358,0.022837072905978313,0.031774705208517,0.031774705208517
0.016158671537930644,0.017032095016198925,0.02275856830965436,0.02275856830965436
0.012253409734165704,0.012879791232796593,0.01688783847205201,0.01688783847205201
0.009403626060860973,0.009848642644859169,0.012942673118350196,0.012942673118350196
0.007302169181792308,0.007615508766817582,0.010110274723380224,0.010110274723380224
0.005736094199552039,0.005958139836176144,0.00793798653007077,0.00793798653007077
0.004556333118048651,0.004715668372334547,0.0062224059907648385,0.0062224059907648385
0.0036577162543326193,0.003772925385743086,0.004872120728922778,0.004872120728922778
0.002965533246715551,0.0030484947345523657,0.003823659072102832,0.003823659072102832
0.0024263607154916536,0.0024849514754413226,0.003016481223179531,0.003016481223179531
0.0020017370901910794,0.0020415559642337666,0.00239472330438733,0.00239472330438733
0.001663769100383453,0.0016890514866295368,0.0019121286807932145,0.0019121286807932145
0.0013920645793681053,0.0014061259389653883,0.0015334849052526204,0.0015334849052526204
0.0011715833006089463,0.0011770537931311748,0.0012333846750070244,0.0012333846750070244
0.0009911263642976792,0.0009901014515957122,0.0009938923026169481,0.0009938923026169481
0.000842270938607253,0.0008364217666681607,0.0008021378929534481,0.0008021378929534481
0.0007186161024523779,0.0007092741293419603,0.0006484487404202096,0.0006484487404202096
0.0006152463140267558,0.0006034688018160159,0.0005252040812244169,0.0005252040812244169
0.0005283474158150017,0.0005149686483302192,0.000426255179399488,0.000426255179399488
0.00045492987380074565,0.00044060209003452807,0.00034664280480533943,0.00034664280480533943
0.0003926277208145518,0.00037785464340619405,0.00028241448548026134,0.00028241448548026134
0.0003395512360372904,0.00032471598680260566,0.0002304559561205264,0.0002304559561205264
0.00029417801748656783,0.000279566465913315,0.0001883246668114327,0.0001883246668114327
0.00025527168968140113,0.00024109190394804074,0.0001540990370468227,0.0001540990370468227
0.00022182066435309387,0.0002082189921468588,0.00012625555306888334,0.00012625555306888334
0.00019299157645067086,0.0001800658343728411,0.0001035762428245833,0.0001035762428245833
0.00016809355376856596,0.00015590376983251432,8.508169560563475e-5,8.508169560563475e-5
0.0001465505545162409,0.00013512766396880452,6.998222861253245e-5,6.998222861253245e-5
0.00012787976562434933,0.00011723260878759188,5.7640777431053314e-5,5.7640777431053314e-5
0.00011167459303396287,0.00010179551286492305,4.7543378332388715e-5,4.7543378332388715e-5
9.759116037210471e-5,8.846045139441074e-5,3.927510996395118e-5,3.927510996395118e-5
8.533751007867762e-5,7.692693017180793e-5,3.250048638459887e-5,3.250048638459887e-5
7.466490279413338e-5,6.694042450169244e-5,2.6947681727797316e-5,2.6947681727797316e-5
6.536075854104416e-5,5.828470643591938e-5,2.239599818189567e-5,2.239599818189567e-5
5.724289222252019e-5,5.077558701811436e-5,1.8665959639835402e-5,1.8665959639835402e-5
5.015477696549562e-5,4.4255785157394886e-5,1.5611446935135006e-5,1.5611446935135006e-5
4.396162947336839e-5,3.859069896522038e-5,1.3113388023214738e-5,1.3113388023214738e-5
3.8547157257485126e-5,3.3664904236220726e-5,1.1074634723473184e-5,1.1074634723473184e-5
3.3810842300990915e-5,2.9379242126363007e-5,9.415760859360139e-6,9.415760859360139e-6
2.9665662204254374e-5,2.5648386837355215e-5,8.07159268771991e-6,8.07159268771991e-6
2.603617023431373e-5,2.2398806370047942e-5,6.988337628657168e-6,6.988337628657168e-6
2.2856871468002975e-5,1.9567046732825574e-5,6.121222938202251e-6,6.121222938202251e-6
2.007084449955926e-5,1.709828355397538e-5,5.432596681880024e-6,5.432596681880024e-6
1.7628567810554554e-5,1.494509572580663e-5,4.89047115290268e-6,2.5440402437645e-6
1.5486917494449603e-5,1.3066424162465432e-5,4.467488430726253e-6,1.9589448533649534e-6
1.3608309056759935e-5,1.1426685482633294e-5,4.140253236884257e-6,1.8333164830384537e-6
1.1959960827258375e-5,9.995015813199678e-6,3.888928489629576e-6,1.61170351387193e-6
1.0513260390407362e-5,8.744624241828542e-6,3.696960501742785e-6,1.3845979003109926e-6
9.243218568519708e-6,7.652238949001311e-6,3.5508178231610027e-6,1.187347683251792e-6
8.127998035644976e-6,6.6976318965162045e-6,3.4396806976886755e-6,1.021072434644455e-6
7.148505719696348e-6,5.863210273705135e-6,3.355075033666199e-6,8.806904778479943e-7
6.288039859564824e-6,5.1336648093857306e-6,3.2904799082877803e-6,7.610026618581421e-7
5.5319839959708186e-6,4.495666628747604e-6,3.2409459339241136e-6,6.581087915042012e-7
4.867541346857587e-6,3.937605634507579e-6,3.2027529736665883e-6,5.693410686085084e-7
4.283503995399342e-6,3.449364471820227e-6,3.173121644597869e-6,4.927051058005199e-7
3.7700521369876206e-6,3.0221230372022857e-6,3.1499811630226953e-6,4.2653277734301754e-7
3.3185793194239323e-6,2.648189245569611e-6,3.1317887344173893e-6,3.693743334375864e-7
2.9215401908764286e-6,2.320852402447721e-6,3.11739238988569e-6,3.199738302718921e-7
2.5723177614084464e-6,2.0342560615236268e-6,3.1059285426119662e-6,2.7725295283936284e-7
2.265107601015221e-6,1.783287697997966e-6,3.0967463153783805e-6,2.40289629233377e-7
1.9948167522995157e-6,1.5634829095488453e-6,3.089352015692758e-6,2.0829479079336844e-7
1.7569754391577068e-6,1.3709421804817095e-6,3.083368528877534e-6,1.8059135987271963e-7
1.5476599123477943e-6,1.2022585201352294e-6,3.07850564031456e-6,1.5659691170529218e-7
1.3634249953595848e-6,1.0544545215296742e-6,3.0745383130756484e-6,1.3580963283029712e-7
1.2012450852427887e-6,9.249275869467327e-7,3.0712907371683346e-6,1.1779674784516458e-7
1.0584625276720624e-6,8.114022389073464e-7,3.06862456246687e-6,1.0218477259597841e-7
9.327424274743721e-7,7.118885822772981e-7,3.066430167658281e-6,8.865120389814217e-8
8.220330784196421e-7,6.24646109668797e-7,3.0646201384287328e-6,7.691740586733568e-8
7.245313020677808e-7,5.481521510164826e-7,3.0631243599130248e-6,6.67425179477797e-8
6.386520772310326e-7,4.810743617941496e-7,3.0618862949161575e-6,5.791823696218041e-8
5.630019211495135e-7,4.2224672500315514e-7,3.0608601386097996e-6,5.026434355842774e-8
4.963555524901879e-7,3.7064861166553675e-7,3.060008625639123e-6,4.362486123058908e-8
4.3763542621520786e-7,3.2538650467206495e-7,3.059301326551669e-6,3.78647535423034e-8
3.858937824634072e-7,2.856780428087738e-7,3.058713314165467e-6,3.286708062596451e-8
3.4029689690983077e-7,2.5083808675686394e-7,3.0582241119176375e-6,2.853054877559184e-8
3.0011125952285546e-7,2.202665478046686e-7,3.0578168589222903e-6,2.476739722375981e-8
2.646914430092544e-7,1.9343775375937342e-7,3.0574776429292764e-6,2.1501574553558616e-8
2.3346945219815892e-7,1.698911558134145e-7,3.0571949643910832e-6,1.8667164146494782e-8
