x1,x2,x3
99.9999996801746,99.9999996801746,99.9999996801746
74.38330961910498,74.38330961910498,81.00126008656486
57.03692576481805,57.03692576481805,65.6135117995951
44.242098869383156,44.242098869383156,53.14849837488801
34.44071146003557,34.44071146003557,43.05108656248116
26.969072357032672,26.969072357032672,34.87024944542519
21.45222685949065,21.45222685949065,28.246780951088326
17.58722543254153,17.58722543254153,22.8820028004278
14.802391332751512,14.80147968423428,18.535758186891293
11.374461834081387,12.728761856681274,15.01433399465563
8.99558997292202,11.212909341661003,12.16169555774811
7.181337133842803,10.152156909516748,9.85190610542994
5.789417697863826,9.41546878188801,7.980214448911781
4.69921076220772,8.897518935600147,6.463451079710282
3.8140157236964427,8.535700439267437,5.235752752758859
3.088996133568873,8.284480298808532,4.242272211464158
2.4986942137024677,8.107464963394072,3.436352081080024
2.0200224504629993,7.984711979191715,2.783178248348314
1.6334305257046395,7.897960480713621,2.2547883221206995
1.3212787250242286,7.837243421586781,1.8272182927117484
1.0692619330018154,7.794529595211852,1.4797570526529498
