x1,x2
999.9999993036812,999.9999993036812
754.7751589300572,810.0012816104961
576.7885247327162,658.4431997731317
443.8548958282289,533.8716301045774
342.04698293885224,432.69395634524506
263.0610990341488,350.52051018747767
201.57175718261203,283.92032956730225
153.74730255212455,229.97523510450358
116.67178190146399,186.28348814586957
88.07604126762766,150.90903860392146
66.93401919528375,122.24899883624765
53.13306458781014,99.02897581188705
42.46035080286737,80.21629774123295
33.844470978340794,64.9768912140359
27.332840461016872,52.63107443353749
22.531730481151513,42.63194833533913
18.88765806719217,34.531096752756014
15.933781282036264,27.97271232039867
13.20306838204192,22.658015815074208
10.802356250532156,18.353243036757675
8.817388242026638,14.866457056807434
