x1,x2,x3
99.99999704768715,99.99999704768715,99.99999704768715
80.86575634659388,80.86575634659388,84.64012310973699
67.4942069432599,67.4942069432599,71.63972368174254
56.14849993800408,56.14849993800408,60.63598865295666
46.375940128633616,46.375940128633616,51.322580091268605
38.31383714200221,38.31383714200221,43.439452125034364
31.95983744366763,31.95983744366763,36.767777255579176
27.054733935298337,27.054733935298337,31.119974584339605
23.260203764276824,23.260203764276824,26.340103840412496
20.314849127751778,20.314849127751778,22.29455111612529
