"Line_2_L_1, L_2 = 1.6, 0.4","Line_3_L_1, L_2 = 1.65, 0.35","Line_4_L_1, L_2 = 1.7, 0.3","Line_5_L_1, L_2 = 1.75, 0.25",Line_6_run_20250922-230159
1.0,1.0,1.0,1.0,1.0
1.0,0.9094802989203901,0.7939061687512448,0.693252055386293,0.6045050895512527
0.999997861276744,0.836463865826382,0.659810361894642,0.5334318134160706,0.44197125748209054
1.0003374317652856,0.7728758536831419,0.5513236518691178,0.4113245559265194,0.32085737634414285
1.0003349099143382,0.7087490207136364,0.4487328127653351,0.2993667913900099,0.20988463162462986
1.000333312600355,0.6452873222881343,0.3556555506621386,0.20543475398418612,0.12354332718986626
1.0003492418700162,0.585636489225391,0.2782790871373167,0.13667071450046106,0.06830193725612667
1.0003668098188714,0.5322205936424642,0.21847246568932288,0.09136524246923697,0.03778424233134795
1.0003845329537129,0.4856397038319677,0.1739364686210313,0.0630859206843444,0.02231283285353851
1.0003776879602257,0.4451245278155005,0.1407734052689255,0.045440959917446316,0.015012649841381318
1.0003830776423925,0.40939312660103316,0.11545833001489907,0.033977798223671245,0.010907665007926119
1.0003899971293815,0.3774195766686799,0.09555602708336716,0.02612365582933804,0.008122804249017209
1.0003866698024262,0.3486059421411877,0.07962900131917805,0.020522993801007562,0.006339355900981292
1.0003924694957345,0.32266423871240835,0.06685551061961077,0.016478975328515832,0.0053460118224720465
1.0003952441115072,0.2994456474442914,0.05669927480963292,0.013583359189654141,0.004703678503999086
1.0003695481229202,0.2789020049704564,0.04871334743256191,0.011550178852425692,0.004317153792565247
1.000394429478482,0.2608392578936491,0.04249601853867792,0.010163133594103457,0.004163538271917704
1.0003859238627235,0.24510631004244512,0.037689091891046064,0.009238331412203264,0.00418575973619184
1.00044685723404,0.2314700623788914,0.03400354438969893,0.008663833108562901,0.004327639429851914
1.0003652288790768,0.21975342506700862,0.031212914046162093,0.008369895912507214,0.00456651534481106
1.0003831409423085,0.2097854422659917,0.02913608292879648,0.00840090691016673,0.00487438350041293
