x1,x2,x3
499.9999937159063,499.9999937159063,499.9999937159063
364.15924160488413,364.15924160488413,485.8184310903505
268.9951264193332,268.9951264193332,542.9408435041787
200.09025590362688,200.09025590362688,377.9567270505417
149.31032325637528,149.31032325637528,296.49806046472816
111.85240207030695,111.85240207030695,232.60113590811244
84.44095878758631,84.44095878758631,182.47384223074388
64.49842379389683,64.49842379389683,143.14919252501923
49.99175635906292,49.99175635906292,112.3017465209342
39.35169364948973,39.35169364948973,88.0996393429941
31.703048875676785,31.702601621869547,69.11590934731878
24.865149566216232,26.88125458250414,54.22336504635956
19.435225240729807,23.767912076271358,42.5374015936543
15.095577024186113,21.75209315835403,33.36978441301804
11.71760106613695,20.37331108905702,26.17979272730601
9.227329662419933,19.287514161234164,20.53807644724717
7.227968719338875,18.348433832349514,16.113734680161656
5.614092082973855,17.500521457932244,12.6405096508133
4.391999456113808,16.73831114305267,9.917013231821215
3.445823530586736,16.071975094896565,7.781068223049147
2.698918395774456,15.48226088100013,6.103523895473302
