"Line_1_L_1, L_2 = 1, 1","Line_2_L_1, L_2 = 1.6, 0.4","Line_3_L_1, L_2 = 1.65, 0.35","Line_4_L_1, L_2 = 1.7, 0.3","Line_5_L_1, L_2 = 1.75, 0.25"
1.0,1.0,1.0,1.0,1.0
1.0,0.9417830246698812,0.9182981788136707,0.8863913121899715,0.8416216657102268
0.9999867234531821,0.9054246795863292,0.8692862826642671,0.8232864534266141,0.7643990050016791
0.9999766350100873,0.8784097668289061,0.8324242494551266,0.7759055490521162,0.7071850838524124
0.9999977242322056,0.8558652088457601,0.7999963348207454,0.7324999930911521,0.6523830794915855
0.999965580382233,0.838614050244243,0.7734120858309744,0.6957089443970667,0.6048976027252629
1.0000156656327943,0.834315623104564,0.759457401416359,0.6728465506734361,0.5748937323789964
1.0000061360299033,0.8496871687236738,0.7686051603932468,0.6772724381223474,0.5780768534381105
0.999980090758394,0.882166911526747,0.7985856949309976,0.7080330510288856,0.6171302154458649
1.000066299474906,0.8383295544032896,0.7575735186209486,0.6672586696569501,0.5756072082767398
0.9999091733578179,0.8212431445492043,0.7396657752373194,0.6473341034072179,0.5516726138437453
0.9999905237079459,0.810509976623931,0.7289287024248804,0.6382886860142128,0.5470975269403135
1.0000317615122187,0.8082157082508881,0.7254714437722031,0.6317508306359009,0.5360446794468673
0.9998466302248357,0.8100962372513102,0.7270436032167443,0.6316690775729328,0.5289985498662181
0.9999753597464704,0.8116472867848418,0.7284560413374628,0.6325600876877182,0.5283907410455397
0.9999552282614145,0.811485920777367,0.7281466109650591,0.6325951977829818,0.5281594223069319
0.999954790264385,0.8103266018545293,0.7271356818935574,0.6311976819839598,0.527180062626889
1.0000591314498766,0.8090745304879207,0.7257970098256512,0.6297404768363829,0.5252995822274201
0.9999436246562944,0.8084323049429836,0.7244274372364793,0.6283166333581885,0.5238190258684466
0.9999646072029111,0.8075375353301696,0.7231094009371687,0.6268339261886514,0.522691265429369
0.9997654982221738,0.8070204075151376,0.722592895289678,0.6260459418709301,0.5210280363726737
