x1,x2,x3,x4,x5
130.0009594636994,130.0009594636994,130.0009594636994,130.0009594636994,130.0009594636994
41.64546042119821,41.68185188004615,41.68185188004615,41.68185188004615,41.64546042119821
24.0016209568391,21.120812043437915,21.120812043437915,24.203450672592098,24.0016209568391
16.459280659728556,10.37570666641121,10.37570666641121,16.805956489281368,16.459280659728556
12.28412212435163,4.892690661595634,4.892690661595634,12.948177405323102,12.28412212435163
9.639397175500267,2.956754518487951,2.956754518487951,10.33803907379394,9.639397175500267
7.818704168407785,2.5190364009601565,2.5190364009601565,8.364274272990652,7.818704168407785
6.492358144259232,1.8743908496571897,1.8743908496571897,6.890492035621208,6.492358144259232
5.485816710779169,1.3243800926744944,1.3243800926744944,5.783587495887485,5.485816710779169
4.698043191083286,0.9141514842630514,0.9141514842630514,4.939614190418909,4.698043191083286
4.066423947633747,0.6594708952292674,0.6594708952292674,4.2734403366817215,4.066423947633747
3.5501859669290163,0.38523563274088657,0.5341932077684615,3.7319371227033633,3.5501859669290163
3.1215786336968474,0.2648943039018538,0.48774651013789827,3.2821952181744267,3.1215786336968474
2.761021219041217,0.19705802896673985,0.46932916339915115,2.9031440598755758,2.761021219041217
2.454402980853562,0.15329898210487342,0.45773622744338666,2.5803333777464976,2.454402980853562
2.1912000138006,0.12294345510142451,0.4432285582939895,2.3031246275647708,2.1912000138006
1.9634716150219078,0.10154899887238442,0.43087241806767507,2.0633384587161903,1.9634716150219078
1.7650603510360918,0.08671791667105741,0.42242644117956796,1.8545086838543852,1.7650603510360918
1.5911498936125503,0.0749504493507496,0.41686337222698266,1.671535688671119,1.5911498936125503
1.4379108011035227,0.0654266556517634,0.4150787413864768,1.5103602409210781,1.4379108011035227
1.3022635591684752,0.057457004240338505,0.4134827682881264,1.3677127291441944,1.3022635591684752
