x1,x2
999.9999933253877,999.9999933253877
716.933528936501,810.001394958817
527.0214042791285,659.1965687306317
387.6186922229389,533.6503115123746
281.63979517916755,432.254639299554
202.09679230253118,350.12962360641257
144.2214121435784,283.60425184334616
103.18540543240553,229.72233346702092
74.39101208558401,186.07654538158047
54.10810133405775,150.72130705749296
39.63735232313863,122.0876744030798
29.19191653176418,98.89132973579497
21.596201167851603,80.10223886829993
16.05753818928514,64.88290003361982
12.018210508348005,52.555990627921915
9.07145486434544,42.570996731109176
6.915089388063535,34.48301660165461
5.329638722881356,27.931829933199964
4.15574052136725,22.625759985497126
3.2807258792736036,18.327012490277838
2.6238242951096993,14.845532707597869
