x1,x2,x3
99.99999980094817,99.99999980094817,99.99999980094817
76.65336333353446,76.65336333353446,88.36091310991326
61.23587204704123,61.23587204704123,78.07658640722028
49.4291046226372,49.4291046226372,68.9887543522203
39.7853124186953,39.7853124186953,60.9587211106697
32.03101326279864,32.03101326279864,53.86526478535213
26.04202573886799,26.04202573886799,47.59442013845125
21.64480865083688,21.64480865083688,42.055282577565244
18.453858097950473,18.454668154364356,37.16100768402929
16.009606317349963,16.031893530494173,32.83715509738263
14.228272401234001,14.208431077489536,29.016651425166977
12.700408910393833,12.853243512211066,25.637432769729962
11.262651208427378,11.853438304640754,22.654904820572664
9.919468385971584,11.120406831143136,20.0181273451603
8.732701081812323,10.588506739657213,17.68820094738338
7.699148455717484,10.207144041294875,15.62951458332159
6.794027087109036,9.933507249585404,13.811445443279755
5.999991466096901,9.73715521918685,12.203941378233168
5.298374102753183,9.593590908382957,10.783198800971274
4.680123820574185,9.490887860959695,9.529278220037295
4.132065564351365,9.417591196994096,8.41848379491612
