x1,x2,x3,x4
0.7737618259307697,0.7737618259307697,0.7737618259307697,0.7737618259307697
0.3556124137089569,0.24080563145086767,0.24080563145086767,0.24080563145086767
0.18202494770200672,0.19986465142032936,0.17974242257270256,0.17974242257270256
0.10043775764200363,0.1434445385389124,0.14896254161511374,0.14896254161511374
0.05840564091110623,0.0963084822784408,0.10924925296541005,0.10924925296541005
0.0353164474567078,0.05853770611827414,0.0686991106875209,0.0686991106875209
0.0220228558516744,0.03243419675540717,0.037271181284899015,0.037271181284899015
0.014081667298380717,0.01737695737531511,0.018553167391148182,0.018553167391148182
0.009191540689254108,0.010066274792080821,0.010370375156584156,0.010370375156584156
0.006102105525336971,0.006408065609373126,0.006957958813074442,0.006957958813074442
0.00410747144826617,0.004101211341827246,0.004511443574625588,0.004511443574625588
0.0027959229637566823,0.0025937233494487677,0.0025796752415748994,0.0025796752415748994
0.0019203053436377085,0.0017005791332636198,0.0013823507337871405,0.0013823507337871405
0.0013283642216601306,0.001158932579787164,0.0008084000742090933,0.0008084000742090933
0.0009241073216890576,0.0007842882457391352,0.0005191200183946595,0.0005191200183946595
0.0006457592822739039,0.0005198475102543741,0.00032247658355112526,0.00032247658355112526
0.00045284901455425587,0.0003454396640561484,0.0001908394178756925,0.0001908394178756925
0.00031845595538433055,0.00023344320762743836,0.00011527800010544005,0.00011527800010544005
0.0002244434460580338,0.00015873224006022736,7.225281205149293e-5,7.225281205149293e-5
0.0001584636433303972,0.00010784368963661155,4.539845804727172e-5,4.539845804727172e-5
0.00011203770188424372,7.370364773847777e-5,2.880538286005132e-5,2.880538286005132e-5
7.930322273542994e-5,5.073533993728214e-5,1.824453603217993e-5,1.824453603217993e-5
5.6184408191108535e-5,3.4836579991867355e-5,1.0797689580768689e-5,1.0797689580768689e-5
3.983505884373733e-5,2.3736309940709536e-5,6.0894118094607246e-6,6.0894118094607246e-6
2.8260620610555704e-5,1.6134963619127907e-5,4.058830988064248e-6,4.058830988064248e-6
2.0059423587417186e-5,1.1000671209708114e-5,3.1249503857070845e-6,3.1249503857070845e-6
1.4244231210075567e-5,7.510787100012712e-6,2.2387755154736137e-6,1.3622579421898372e-6
1.0118449119406882e-5,5.123823672822406e-6,1.5803442424988062e-6,8.55219785394376e-7
7.189844664894848e-6,3.5000461329447518e-6,1.3357952653753382e-6,8.086044363864221e-7
5.110182214321706e-6,2.398519765983062e-6,1.2703728157824313e-6,6.250166961527862e-7
3.6328612408599917e-6,1.6449591704114418e-6,1.2211276303504104e-6,4.0270386256840607e-7
2.5831152929924616e-6,1.1258096156248574e-6,1.1898773975044108e-6,2.565611400593028e-7
1.8370059464083628e-6,7.694345529845732e-7,1.1791653817575219e-6,1.8411173231907896e-7
1.3065924434837555e-6,5.261889596314971e-7,1.174764518292779e-6,1.3090098038796951e-7
9.294477644889313e-7,3.6001765446541764e-7,1.1713724727763006e-6,8.254082446783978e-8
6.612393980621217e-7,2.461717585861968e-7,1.1700024869632363e-6,4.84514134008481e-8
4.7047432230720753e-7,1.6830073721006747e-7,1.170324822489443e-6,3.127205909464651e-8
3.3477418495193036e-7,1.1518717028141806e-7,1.1709079749219073e-6,2.223246266867719e-8
2.382335062157714e-7,7.890656000456142e-8,1.1710717116590936e-6,1.5133496644369803e-8
1.6954505256407323e-7,5.403783784490106e-8,1.1708951160561368e-6,9.941822729629774e-9
1.2066902447004546e-7,3.6985682396495364e-8,1.170622759635007e-6,6.969224978134325e-9
8.588795613850228e-8,2.531644243469763e-8,1.1704122773868855e-6,5.087880933232504e-9
6.113532504173657e-8,1.7333699128197697e-8,1.1703164823139918e-6,3.5057262846659517e-9
4.351847348760787e-8,1.1866010433228611e-8,1.1703132633465383e-6,2.255590802600013e-9
3.0979525555216916e-8,8.120937877042332e-9,1.1703493933414872e-6,1.4559420472030545e-9
2.20543349150933e-8,5.559028233960437e-9,1.1703816159326823e-6,9.877344543797073e-10
1.5701091580505936e-8,3.806830838827382e-9,1.1703933996801062e-6,6.759806295922789e-10
1.117843844576893e-8,2.6070128451228593e-9,1.1703886367192162e-6,4.583150683613558e-10
7.958783800933549e-9,1.7849620842673412e-9,1.1703780628609369e-6,3.1974386437420827e-10
5.666638727161146e-9,1.2221072195994999e-9,1.1703698073691536e-6,2.290758488749664e-10
4.034750353228308e-9,8.369065941202862e-10,1.1703665671746605e-6,1.5976044506265784e-10
2.8728919811923036e-9,5.731719570496867e-10,1.1703671063221425e-6,1.0628432072962334e-10
2.0456562123370715e-9,3.925210977936233e-10,1.170368968563849e-6,6.974325526433413e-11
1.4566527356075044e-9,2.6880179914556337e-10,1.1703703763914675e-6,4.682692845028309e-11
1.0372627939952958e-9,1.8408834103204368e-10,1.1703707721742899e-6,3.191956792374106e-11
7.38635846876372e-10,1.2606831864739977e-10,1.17037044375346e-6,2.1779618245993443e-11
5.259933264208585e-10,8.632348466332245e-11,1.1703699166436883e-6,1.5091524336128807e-11
3.745742051884272e-10,5.910721270855563e-11,1.1703695507178913e-6,1.0655430675116453e-11
2.6674901368119533e-10,4.047849554854232e-11,1.170369438898541e-6,7.44208856238299e-12
1.8996547517325572e-10,2.7726823116854812e-11,1.170369498243525e-6,5.036985598695929e-12
1.3528605796568823e-10,1.8994039114083974e-11,1.1703696039754218e-6,3.3499507911174506e-12
9.634685630272884e-11,1.3011368732382354e-11,1.1703696746645585e-6,2.24747487759544e-12
6.861638848227215e-11,8.912277726193738e-12,1.1703696905711905e-6,1.5285514846146335e-12
4.8867896315414975e-11,6.10371211927084e-12,1.1703696709548983e-6,1.0453807882502265e-12
3.4803635407800355e-11,4.179611798313464e-12,1.1703696435335953e-6,7.215276118084173e-13
2.4787371180503027e-11,2.861937773652156e-12,1.1703696257738718e-6,5.041468783374174e-13
1.7653911698820215e-11,1.959956395038248e-12,1.1703696212853155e-6,3.5112062337088644e-13
1.257348843606007e-11,1.3425867905081992e-12,1.1703696251853864e-6,2.3975494724483656e-13
8.955188317594193e-12,9.198609654210591e-13,1.170369630979997e-6,1.6110058475627316e-13
6.3781907416557024e-12,6.302494803288588e-13,1.170369634665424e-6,1.0837170691805656e-13
4.542802594633626e-12,4.3176396270223444e-13,1.1703696354285996e-6,7.363357893475698e-14
3.2355903865183985e-12,2.957283668690612e-13,1.170369634374659e-6,5.0384620165537277e-14
