x1,x2,x3,x4
0.8331693009188723,0.8331693009188723,0.8331693009188723,0.8331693009188723
0.34925315100994775,0.2604505782371037,0.2604505782371037,0.2604505782371037
0.1679274231019152,0.1882912321337132,0.17675077223370175,0.17675077223370175
0.09035804104325779,0.12189031107610508,0.13625571637893347,0.13625571637893347
0.052396980030921164,0.07591835282560166,0.09635068393397923,0.09635068393397923
0.03181037384899117,0.044788902645244585,0.06033730839128387,0.06033730839128387
0.01987727320530258,0.02552744305209501,0.034068200462537196,0.034068200462537196
0.012664247748243658,0.014731776752460726,0.01845113412171715,0.01845113412171715
0.00818235247456669,0.008866163473390599,0.010469235247590313,0.010469235247590313
0.005343079209911335,0.005419743130651177,0.006246255507008418,0.006246255507008418
0.0035184865950923555,0.0032984214565318654,0.0036551899098501285,0.0036551899098501285
0.0023329669143200347,0.0020618848924716577,0.002098871259849064,0.002098871259849064
0.0015559015844656464,0.0013505839539239186,0.0012736089222246847,0.0012736089222246847
0.0010428937557544298,0.0008929749005674867,0.0008085642224784164,0.0008085642224784164
0.0007021592083047774,0.0005795149627539801,0.0004881669169681056,0.0004881669169681056
0.00047466092135130803,0.0003755237141129955,0.00027406849301181364,0.00027406849301181364
0.0003220628643643629,0.00024772455883611497,0.00015707203015029387,0.00015707203015029387
0.00021927679763538856,0.00016409146901154577,9.7513428761965e-5,9.7513428761965e-5
0.00014977671989496426,0.00010757980528024346,5.923518010511365e-5,5.923518010511365e-5
0.00010261549687664881,7.077432176756563e-5,3.416308725284392e-5,3.416308725284392e-5
7.050568873066838e-5,4.7435767235099714e-5,2.1719233623655638e-5,2.1719233623655638e-5
4.857453920349596e-5,3.1977995528344686e-5,1.5218833410916433e-5,1.5218833410916433e-5
3.355062083982455e-5,2.1322251902447876e-5,9.727796111239303e-6,9.727796111239303e-6
2.3229288182575995e-5,1.4166170434919017e-5,5.599613629095348e-6,5.599613629095348e-6
1.611952849592572e-5,9.534311220718315e-6,3.699023980316148e-6,3.699023980316148e-6
1.1209564345189203e-5,6.485384645809311e-6,2.889190697872844e-6,2.889190697872844e-6
7.810615114160067e-6,4.4013843754280495e-6,2.108895364045904e-6,1.21211139118986e-6
5.452345878592258e-6,2.9797074909900493e-6,1.4787851293123462e-6,7.119547924471199e-7
3.8126455168171666e-6,2.0278506823031935e-6,1.2177325864824906e-6,7.395051648668762e-7
2.6702963695811535e-6,1.3836700022880158e-6,1.1750340332478538e-6,5.939799142509829e-7
1.8729657361562002e-6,9.379561739296684e-7,1.180827292073636e-6,3.7940337369456456e-7
1.315489141909498e-6,6.323130342959868e-7,1.1951026802152033e-6,2.3631031505149855e-7
9.250902548117132e-7,4.2831386336123063e-7,1.2028587222298324e-6,1.6715236542071866e-7
6.512914989499244e-7,2.92602810269954e-7,1.1968111114574434e-6,1.1472039814028673e-7
4.590067212674574e-7,2.0035114508506055e-7,1.1834897079204273e-6,6.862400180654728e-8
3.23799153815149e-7,1.3698568681670039e-7,1.17240829141437e-6,4.072680522927535e-8
2.286172054573356e-7,9.374086818164767e-8,1.1673504016286723e-6,2.9539784220461718e-8
1.615417989093186e-7,6.419918460282686e-8,1.167033924846582e-6,2.2035281402767166e-8
1.142280194820535e-7,4.3811634595394776e-8,1.1687445805752381e-6,1.4454972437449787e-8
8.082460461508173e-8,2.977304715908919e-8,1.1704447377063215e-6,8.844224799445973e-9
5.722313440337693e-8,2.0258102239473474e-8,1.1712708664178213e-6,5.887278719862438e-9
4.053526254504167e-8,1.3853602146634064e-8,1.1712654669159666e-6,4.137758116163468e-9
2.8728036488169416e-8,9.498625049624706e-9,1.1708627634912855e-6,2.707464566199735e-9
2.036905093459325e-8,6.509059010737119e-9,1.1704625338622099e-6,1.7136248832329293e-9
1.4448064155434455e-8,4.459491468205682e-9,1.1702497275570742e-6,1.2060650725707761e-9
