x1,x2,x3
99.9999991742464,99.9999991742464,99.9999991742464
76.65081457741088,76.65081457741088,88.36018798180211
62.348928590867786,62.348928590867786,78.0752949409817
50.8328690336896,50.8328690336896,68.98736582882545
40.96704253131524,40.96704253131524,60.957475733930245
32.903059257645246,32.903059257645246,53.862066454411284
26.664881147604895,26.664881147604895,47.59257872465945
22.088637720453416,22.088637720453416,42.05292221612717
18.889696080462983,18.889696080462983,37.158196071655674
16.615648169150912,16.615648169150912,32.833005380419635
