x1,x2
999.9999905804951,999.9999905804951
629.5408009081877,908.0979941089331
442.09528877597523,828.77448276426
324.62641059222733,752.6903844496866
238.40029497530438,683.7594717100042
171.6137905125814,620.9067692648127
120.07366991960265,563.8876855687029
80.9507892489606,512.0493657086098
51.79921165689876,464.98460875700255
32.960079982466226,422.24220670292743
29.20713351758667,383.4298297884002
31.05195993305476,348.19737906521993
35.23213215032263,316.19543360835837
35.94078977743592,287.1432941673226
33.389806505661106,260.75268866414785
29.572638475662366,236.78796708498288
24.870301870892604,215.0291447676012
19.628309783120244,195.26731116496737
14.451860359678903,177.32237991019122
9.938048858052113,161.0273191272245
7.0263591427981,146.22933342789872
